date,temp,precip,dem,sFlow
1/1/1997,2.777777778,12.6238,7467755,143634.7097
2/1/1997,7.222222222,12.0904,6697511,113027.7241
3/1/1997,11.61111111,23.4188,6627754,239943.3226
4/1/1997,11.66666667,10.5918,6273845,82695.8
5/1/1997,16.38888889,13.5382,6618153,71443.6129
6/1/1997,21.61111111,19.2024,6520252,130196.3
7/1/1997,25.27777778,6.604,7728359,39728.06452
8/1/1997,23.44444444,9.4742,7407221,20618.41935
9/1/1997,20.88888889,11.684,6455173,17142.56667
10/1/1997,14.27777778,8.001,6349920,20964.29032
11/1/1997,6.611111111,7.6454,7864774,14339.46667
12/1/1997,3.833333333,8.6614,7880767,30305.80645
1/1/1998,5.888888889,14.0462,7523323,131343.2258
2/1/1998,6.888888889,11.938,6498796,136917.5172
3/1/1998,9.111111111,11.6332,7561476,108811.9677
4/1/1998,13.77777778,21.336,6277844,177848.0667
5/1/1998,20.83333333,11.9888,7525990,100264.4516
6/1/1998,24.33333333,20.5486,7675945,93721.03333
7/1/1998,25.55555556,15.7734,7789793,31625.03226
8/1/1998,24.66666667,7.2898,7717902,22750.70968
9/1/1998,23.55555556,2.8702,6625137,13967.93333
10/1/1998,16.44444444,6.223,6306414,14440.74194
11/1/1998,10.38888889,4.9784,6453665,13304.1
12/1/1998,6.277777778,17.6022,6800882,55837.90323
1/1/1999,5.555555556,22.2504,8441626,168343.4839
2/1/1999,7.055555556,8.382,6863545,84064
3/1/1999,7.111111111,11.6586,7152202,115858.871
4/1/1999,16.33333333,10.1854,5935177,52488.56667
5/1/1999,18.77777778,10.7442,6787522,65523.93548
6/1/1999,23.55555556,14.3256,7568960,38461.36667
7/1/1999,26.33333333,9.6012,8763758,38248.16129
8/1/1999,25,3.5052,8698403,13323
9/1/1999,20.72222222,3.2766,7682562,8216.4
10/1/1999,14.66666667,6.477,7513536,11302.51613
11/1/1999,11.55555556,8.3566,6998010,17468.63333
12/1/1999,5.277777778,8.2042,7928944,20662.22581
1/1/2000,3.222222222,9.0932,8327289,34126.6129
2/1/2000,7.444444444,9.4488,6977291,48381.06897
3/1/2000,11.38888889,11.3538,7020347,67890.06452
4/1/2000,12.94444444,16.3576,7679474,127300.7333
5/1/2000,20.44444444,11.6586,7919234,46815.16129
6/1/2000,23.38888889,10.6426,8157962,30340.56667
7/1/2000,24.88888889,7.493,8653645,22712.87097
8/1/2000,25.05555556,6.604,8948212,20003.48387
9/1/2000,20.88888889,8.5852,7275323,15152.9
10/1/2000,16.16666667,0.889,6602512,7463.225806
11/1/2000,8.277777778,12.954,6643318,19628.43333
12/1/2000,-0.777777778,9.271,8838657,36374.48387
1/1/2001,1.277777778,9.4234,9106237,57619.32258
2/1/2001,7.055555556,17.6022,7453653,130175.7586
3/1/2001,7,8.4582,8193004,72556.58065
4/1/2001,16.27777778,7.4422,8078386,67725.93333
5/1/2001,19.38888889,11.2268,8066658,33546
6/1/2001,22.16666667,11.0744,7814104,42962
7/1/2001,25.05555556,12.2936,8489708,40939.45161
8/1/2001,24.83333333,10.6934,9142632,37754.25806
9/1/2001,19.77777778,9.0678,8103377,30448.16667
10/1/2001,13.61111111,11.5316,7146984,29081.6129
11/1/2001,11.66666667,14.4272,6819197,47459.2
12/1/2001,6.888888889,13.9192,7808036,88849.3871
1/1/2002,4.611111111,16.891,8350627,148558.1935
2/1/2002,4.722222222,5.5626,7717884,58316.13793
3/1/2002,9.055555556,23.2156,7904441,157472.2903
4/1/2002,16.05555556,6.1722,7741323.5,86420.33333
5/1/2002,17.88888889,14.097,7593513,83609.96774
6/1/2002,23.83333333,6.223,8216879,23547.36667
7/1/2002,26,10.5156,8711860,23517.32258
8/1/2002,25.44444444,8.4582,8911239,13169.29032
9/1/2002,22.94444444,18.542,7919599,31702.86667
10/1/2002,16.05555556,13.2842,7406944,31424.32258
11/1/2002,7.388888889,10.7442,7558126,66605.3
12/1/2002,4.166666667,16.7132,8081829.5,126173.2258
1/1/2003,0.111111111,5.334,8496350,56589.32258
2/1/2003,3.611111111,24.5364,7506658.75,243499.2069
3/1/2003,10.72222222,6.4516,7194103.25,95429.12903
4/1/2003,15.22222222,13.0556,6185695,112977
5/1/2003,19.16666667,24.6634,6199439,193952.3871
6/1/2003,21.44444444,13.081,6850302.25,67725.76667
7/1/2003,24.55555556,14.7066,8905821.25,56510.87097
8/1/2003,25.05555556,11.2014,9162237.5,46339.12903
9/1/2003,20.05555556,14.3256,7753363.25,38518.03333
10/1/2003,14.72222222,5.1562,7754139,18499.03226
11/1/2003,11.55555556,14.6558,7407637.75,62093.43333
12/1/2003,3.833333333,9.7028,8806047,70491.3871
1/1/2004,2.722222222,8.4582,8296107,78044.90323
2/1/2004,4.111111111,12.8778,8026262.5,143371.9655
3/1/2004,11.5,12.192,7614128.25,107783.6452
4/1/2004,14,12.4968,7355660.25,85083.96667
5/1/2004,21.16666667,13.4112,7819892.5,49955.74194
6/1/2004,23.16666667,14.8082,8346112.5,64153.66667
7/1/2004,24.22222222,12.319,8866417.25,46330.32258
8/1/2004,22.33333333,10.5156,8614298.5,30720.96774
9/1/2004,20.88888889,11.049,7992026,84976.13333
10/1/2004,17.11111111,13.4366,8098960,46221.3871
11/1/2004,11.66666667,17.1958,7466381,101783.8
12/1/2004,3.722222222,16.7894,9098300,227651.4516
1/1/2005,6,10.8966,8671507,101796.0645
2/1/2005,6.888888889,10.5918,7528287,104269.7586
3/1/2005,8.333333333,8.509,7000452.75,82077.03226
4/1/2005,14.38888889,15.367,7357433.75,119388.1667
5/1/2005,17.38888889,4.1148,7559825.75,54336.70968
6/1/2005,23.33333333,10.7188,8404205.75,35986.86667
7/1/2005,25.55555556,13.589,8942742.5,42429.67742
8/1/2005,26.05555556,14.5796,8786871.75,30911.51613
9/1/2005,22.55555556,6.6802,8611745.75,20119.73333
10/1/2005,15.16666667,1.5748,7808262.5,11951.58065
11/1/2005,10.22222222,9.2964,7524053.25,17109.83333
12/1/2005,2.444444444,7.5692,8921779.5,26558.74194
1/1/2006,7.222222222,16.1798,8453080.25,95770.64516
2/1/2006,3.611111111,7.5184,7813391,55436.93103
3/1/2006,9.777777778,8.1026,7668576.25,48660.96774
4/1/2006,17.33333333,13.9446,6737530.75,90874.16667
5/1/2006,18.33333333,10.4902,7460542,44962.09677
6/1/2006,22.88888889,8.5852,7636548.25,28644.93333
7/1/2006,25.55555556,9.271,8739296,24273.12903
8/1/2006,26.22222222,10.3886,9056200.75,20462.25806
9/1/2006,19.55555556,11.8618,7607318.25,24767.3
10/1/2006,13.38888889,9.271,7213974.25,23401.41935
11/1/2006,9.111111111,9.906,7501297.25,49987.73333
12/1/2006,6.277777778,8.6106,8023346.5,38098.67742
1/1/2007,4.555555556,10.4648,8708537.75,89345.67742
2/1/2007,2.166666667,5.4864,7906975.75,36296.03448
3/1/2007,13.55555556,5.6134,7628025.75,55880.90323
4/1/2007,12.88888889,9.4996,7069649.25,56828.56667
5/1/2007,20.38888889,4.572,8255308.25,25479.09677
6/1/2007,24,7.2644,8053090.5,18339.83333
7/1/2007,24.55555556,9.3726,8393726.25,20699.35484
8/1/2007,28.11111111,3.429,8921512.25,11965.93548
9/1/2007,22.77777778,7.6708,7906482.5,10361.4
10/1/2007,17.33333333,12.0142,7128515.25,10758.48387
11/1/2007,9,9.0678,7253529.25,13018.4
12/1/2007,6.944444444,11.3538,7888054.75,35959.58065
1/1/2008,2.444444444,8.763,8373057.75,38379.83871
2/1/2008,5.666666667,10.1854,7287807,68494.51724
3/1/2008,9.333333333,16.5608,6877731.75,106117.871
4/1/2008,14,14.6304,7260860.5,85849.23333
5/1/2008,18.22222222,12.6746,6966623,49191.29032
6/1/2008,24.11111111,6.2992,8079302,19102.4
7/1/2008,24.88888889,10.0076,8158271.25,16669.45161
8/1/2008,24,8.382,8213792.25,17021.67742
9/1/2008,21.77777778,3.2004,7635274.25,9495.233333
10/1/2008,14.38888889,8.2804,7490370.75,8869.645161
11/1/2008,7.333333333,6.7818,6785444.5,12269.43333
12/1/2008,4.666666667,20.6502,7534777.5,105001.2581
1/1/2009,1.833333333,11.7094,8012762.75,111712.2258
2/1/2009,5.722222222,6.7564,6711228,49083.72414
3/1/2009,10.16666667,11.4808,6074138,94344.25806
4/1/2009,14,10.9982,5965708.5,97024.33333
5/1/2009,19.11111111,21.2344,6917393.5,150709.3548
6/1/2009,24.22222222,9.2964,7203438,39362.4
7/1/2009,23.16666667,17.6784,6768012,30253
8/1/2009,23.83333333,8.4836,7036057.5,28539.83871
9/1/2009,21.44444444,18.1102,5840301.5,65538.4
10/1/2009,13.44444444,17.2974,6041539.5,83502.22581
11/1/2009,10.27777778,5.1308,5804971,69606.23333
12/1/2009,3.277777778,14.9352,7341339,167614.4839
1/1/2010,0.444444444,13.462,7904243.5,134425.9355
2/1/2010,0.944444444,7.9248,7450796.25,142832
3/1/2010,8.444444444,9.8552,6736471,89615.03226
4/1/2010,16.05555556,7.8486,5546491.5,62117.8
5/1/2010,20.61111111,22.8854,5736614.5,127424.129
6/1/2010,25.77777778,8.4582,7086023.5,33065.83333
7/1/2010,26.55555556,11.0236,7943358.25,19533.19355
8/1/2010,26.55555556,11.0998,7935242,24776.58065
9/1/2010,22,5.1308,6690766.75,15314.36667
10/1/2010,15.11111111,6.985,5557326.25,13849.29032
11/1/2010,9.888888889,14.3256,5856602.75,26924.86667
12/1/2010,0.388888889,7.112,7904686.5,61200.67742
1/1/2011,1.055555556,8.0772,8455268.895,69849.54839
2/1/2011,6.166666667,10.6934,6539131.72,62709.37931
3/1/2011,10.33333333,17.6784,7137582.135,180100.129
4/1/2011,16.11111111,24.9682,6135954.965,210093.2333
5/1/2011,18.72222222,12.7508,6710062.463,87627.80645
6/1/2011,24.72222222,14.4272,7193922.183,49331.6
7/1/2011,26.66666667,8.0518,7696471.828,28978.16129
8/1/2011,25.44444444,4.0132,7774861.083,15894.45161
9/1/2011,20.05555556,16.6624,6441825.523,38432.8
10/1/2011,13.77777778,6.477,5424038.065,16558.87097
11/1/2011,10.55555556,19.2024,5705456.66,81944.7
12/1/2011,6,15.9766,5889286.733,143807.4516
1/1/2012,5.777777778,12.3952,5842939.86,145483.6774
2/1/2012,6.944444444,7.366,5383118.418,88506.44828
3/1/2012,15.44444444,12.3444,4891345.765,93902.12903
4/1/2012,15.55555556,5.1054,6152069.808,46299.06667
5/1/2012,21.33333333,8.255,6989795.123,30466.6129
6/1/2012,23.11111111,5.461,6911352.125,14960.7
7/1/2012,26.94444444,14.605,8469414.908,25352.12903
8/1/2012,24.22222222,9.0932,7690116.27,21191.12903
9/1/2012,20.61111111,14.7574,6325241.848,33801.93333
10/1/2012,13.72222222,10.3886,5595932.603,29338.93548
11/1/2012,7.666666667,4.318,6842648.018,17215.6
12/1/2012,7.555555556,15.0114,6630289.103,61813.83871
1/1/2013,5,21.9456,7187856.323,205812.8387
2/1/2013,4.888888889,7.6454,6143097.618,119883.3448
3/1/2013,5.944444444,12.6238,7456709.103,120582.4839
4/1/2013,13.77777778,20.0152,7102566.435,161082.0333
5/1/2013,18.33333333,14.3764,6691558.56,124150.0645
6/1/2013,23.44444444,14.8082,7176163.148,75031.03333
7/1/2013,23.77777778,17.6784,7311951.448,122099.2903
8/1/2013,23.72222222,10.795,7129244.755,55796.54839
9/1/2013,21.5,9.4488,6550630.568,29695.16667
10/1/2013,15.27777778,4.699,5300777.755,21497.29032
11/1/2013,7.111111111,9.4234,5449037.62,27980.83333
12/1/2013,4.666666667,17.2466,6152026.155,132272.7419
1/1/2014,-1.111111111,6.858,8166361,89437.32258
2/1/2014,3.5,13.1572,6634741.285,125401.7931
3/1/2014,7.222222222,9.9822,7168948.91,76000
4/1/2014,14.77777778,14.7574,5527534.698,90040.43333
5/1/2014,19.61111111,7.3914,5935259.57,43522.45161
6/1/2014,23.77777778,17.3228,6791977.488,46661.4
7/1/2014,23,10.4902,7272649.208,26476.74194
8/1/2014,24.38888889,12.7,7657171.7,30595.06452
9/1/2014,21.5,5.6388,6992214.75,21381.06667
10/1/2014,15.66666667,17.8054,5912865.595,53921.29032
11/1/2014,5.777777778,8.1788,5833059.205,58297.13333
12/1/2014,6,11.6586,6364154.283,88404.25806
1/1/2015,2.277777778,7.1374,7702733.75,92335.54839
2/1/2015,-0.333333333,11.5824,6801232.75,84754.34483
3/1/2015,9.444444444,13.7414,6226442.75,150479.0968
4/1/2015,15.61111111,15.1384,5333468.75,141646.0667
5/1/2015,20,9.3472,5352401.25,49397.09677
6/1/2015,24.38888889,12.0904,7194872.25,37690.23333
7/1/2015,25.72222222,16.4592,7741548.25,79998.83871
8/1/2015,23.44444444,11.5062,7465637.5,32449.58065
9/1/2015,21.61111111,6.9342,6154061.25,19814.76667
10/1/2015,15.38888889,10.0584,5009553.75,349077.8387
11/1/2015,11.94444444,16.2052,4977744.25,41969.66389
12/1/2015,10.72222222,20.066,5254940.25,220286.9032
